image_filename,droplet_count,mean_radius,size_class,random_seed
small_000.png,12,5.58,small,199
small_001.png,19,4.95,small,336
small_002.png,13,4.92,small,473
small_003.png,16,5.62,small,610
small_004.png,14,4.71,small,747
small_005.png,21,5.67,small,884
small_006.png,20,5.2,small,1021
small_007.png,13,5.54,small,1158
small_008.png,16,5.44,small,1295
small_009.png,14,6.36,small,1432
small_010.png,15,5.8,small,1569
small_011.png,20,5.25,small,1706
small_012.png,15,5.2,small,1843
small_013.png,16,5.19,small,1980
small_014.png,24,5.75,small,2117
small_015.png,12,4.58,small,2254
small_016.png,11,5.18,small,2391
small_017.png,23,6.09,small,2528
small_018.png,18,5.78,small,2665
small_019.png,11,6.0,small,2802
small_020.png,13,5.23,small,2939
small_021.png,13,5.23,small,3076
small_022.png,20,5.3,small,3213
small_023.png,24,5.71,small,3350
small_024.png,17,5.18,small,3487
small_025.png,23,4.87,small,3624
small_026.png,22,5.36,small,3761
small_027.png,11,4.64,small,3898
small_028.png,24,5.79,small,4035
small_029.png,22,4.95,small,4172
small_030.png,20,5.6,small,4309
small_031.png,13,5.62,small,4446
small_032.png,13,5.08,small,4583
small_033.png,25,5.32,small,4720
small_034.png,20,5.3,small,4857
small_035.png,14,5.29,small,4994
small_036.png,12,4.75,small,5131
small_037.png,17,5.06,small,5268
small_038.png,21,5.48,small,5405
small_039.png,17,6.12,small,5542
small_040.png,19,5.95,small,5679
small_041.png,23,6.0,small,5816
small_042.png,24,5.42,small,5953
small_043.png,17,5.88,small,6090
small_044.png,18,5.83,small,6227
small_045.png,11,4.91,small,6364
small_046.png,11,4.82,small,6501
small_047.png,11,5.45,small,6638
small_048.png,17,5.12,small,6775
small_049.png,24,5.25,small,6912
medium_000.png,14,10.29,medium,7049
medium_001.png,21,9.19,medium,7186
medium_002.png,18,9.61,medium,7323
medium_003.png,25,10.64,medium,7460
medium_004.png,21,9.33,medium,7597
medium_005.png,14,10.36,medium,7734
medium_006.png,13,9.92,medium,7871
medium_007.png,18,9.39,medium,8008
medium_008.png,10,9.5,medium,8145
medium_009.png,11,10.27,medium,8282
medium_010.png,14,10.57,medium,8419
medium_011.png,19,10.0,medium,8556
medium_012.png,12,11.08,medium,8693
medium_013.png,25,9.92,medium,8830
medium_014.png,23,10.78,medium,8967
medium_015.png,11,10.55,medium,9104
medium_016.png,19,9.79,medium,9241
medium_017.png,12,10.67,medium,9378
medium_018.png,20,10.85,medium,9515
medium_019.png,13,10.23,medium,9652
medium_020.png,19,10.16,medium,9789
medium_021.png,15,8.47,medium,9926
medium_022.png,17,10.06,medium,10063
medium_023.png,23,9.74,medium,10200
medium_024.png,19,9.11,medium,10337
medium_025.png,13,10.62,medium,10474
medium_026.png,18,10.67,medium,10611
medium_027.png,22,10.36,medium,10748
medium_028.png,12,8.92,medium,10885
medium_029.png,18,9.94,medium,11022
medium_030.png,25,10.6,medium,11159
medium_031.png,20,10.3,medium,11296
medium_032.png,12,9.67,medium,11433
medium_033.png,25,11.24,medium,11570
medium_034.png,10,9.3,medium,11707
medium_035.png,14,10.0,medium,11844
medium_036.png,15,11.13,medium,11981
medium_037.png,11,9.27,medium,12118
medium_038.png,19,10.42,medium,12255
medium_039.png,19,10.26,medium,12392
medium_040.png,25,10.52,medium,12529
medium_041.png,15,9.6,medium,12666
medium_042.png,14,9.64,medium,12803
medium_043.png,16,9.81,medium,12940
medium_044.png,23,11.17,medium,13077
medium_045.png,21,9.81,medium,13214
medium_046.png,25,9.24,medium,13351
medium_047.png,16,9.69,medium,13488
medium_048.png,15,9.6,medium,13625
medium_049.png,12,9.33,medium,13762
large_000.png,20,14.45,large,13899
large_001.png,23,14.96,large,14036
large_002.png,19,13.79,large,14173
large_003.png,12,14.42,large,14310
large_004.png,14,15.5,large,14447
large_005.png,15,16.6,large,14584
large_006.png,15,15.6,large,14721
large_007.png,14,14.36,large,14858
large_008.png,11,15.73,large,14995
large_009.png,14,14.5,large,15132
large_010.png,11,14.18,large,15269
large_011.png,18,15.17,large,15406
large_012.png,20,14.4,large,15543
large_013.png,22,14.86,large,15680
large_014.png,22,16.05,large,15817
large_015.png,25,14.52,large,15954
large_016.png,21,13.95,large,16091
large_017.png,17,13.29,large,16228
large_018.png,13,16.46,large,16365
large_019.png,23,15.17,large,16502
large_020.png,14,14.57,large,16639
large_021.png,18,15.44,large,16776
large_022.png,23,14.04,large,16913
large_023.png,25,14.0,large,17050
large_024.png,20,15.75,large,17187
large_025.png,10,14.0,large,17324
large_026.png,22,16.27,large,17461
large_027.png,20,14.1,large,17598
large_028.png,16,14.69,large,17735
large_029.png,20,14.55,large,17872
large_030.png,20,15.7,large,18009
large_031.png,17,15.76,large,18146
large_032.png,25,14.96,large,18283
large_033.png,12,15.58,large,18420
large_034.png,11,15.18,large,18557
large_035.png,17,14.76,large,18694
large_036.png,18,16.83,large,18831
large_037.png,15,15.87,large,18968
large_038.png,10,16.3,large,19105
large_039.png,17,14.0,large,19242
large_040.png,19,14.84,large,19379
large_041.png,23,15.43,large,19516
large_042.png,11,14.64,large,19653
large_043.png,21,15.43,large,19790
large_044.png,17,14.53,large,19927
large_045.png,11,13.73,large,20064
large_046.png,15,15.33,large,20201
large_047.png,21,15.81,large,20338
large_048.png,17,15.53,large,20475
large_049.png,10,14.2,large,20612
