image_filename,droplet_count,mean_radius,size_class,random_seed
small_000.png,8,11.12,small,42
small_001.png,7,9.0,small,179
small_002.png,4,11.5,small,316
small_003.png,9,9.44,small,453
small_004.png,6,9.17,small,590
small_005.png,5,10.0,small,727
small_006.png,9,9.44,small,864
small_007.png,6,8.0,small,1001
small_008.png,6,12.5,small,1138
small_009.png,9,9.67,small,1275
small_010.png,4,9.25,small,1412
small_011.png,8,9.12,small,1549
small_012.png,6,10.0,small,1686
small_013.png,9,11.22,small,1823
small_014.png,5,10.0,small,1960
small_015.png,5,9.2,small,2097
small_016.png,6,7.5,small,2234
small_017.png,5,12.0,small,2371
small_018.png,8,8.0,small,2508
small_019.png,7,9.43,small,2645
small_020.png,8,10.88,small,2782
small_021.png,6,8.33,small,2919
small_022.png,8,10.88,small,3056
small_023.png,9,11.0,small,3193
small_024.png,4,9.0,small,3330
small_025.png,9,12.0,small,3467
small_026.png,7,10.43,small,3604
small_027.png,8,10.38,small,3741
small_028.png,6,10.0,small,3878
small_029.png,7,9.43,small,4015
small_030.png,6,10.67,small,4152
small_031.png,5,8.6,small,4289
small_032.png,5,9.8,small,4426
small_033.png,7,9.57,small,4563
small_034.png,5,10.2,small,4700
small_035.png,7,10.86,small,4837
small_036.png,9,9.78,small,4974
small_037.png,9,9.44,small,5111
small_038.png,9,10.56,small,5248
small_039.png,5,12.2,small,5385
small_040.png,9,10.44,small,5522
small_041.png,5,10.8,small,5659
small_042.png,5,9.4,small,5796
small_043.png,7,10.0,small,5933
small_044.png,8,10.25,small,6070
small_045.png,4,10.5,small,6207
small_046.png,4,10.0,small,6344
small_047.png,8,9.62,small,6481
small_048.png,6,9.17,small,6618
small_049.png,5,9.2,small,6755
medium_000.png,4,19.0,medium,6892
medium_001.png,7,19.0,medium,7029
medium_002.png,7,20.71,medium,7166
medium_003.png,7,19.57,medium,7303
medium_004.png,8,19.62,medium,7440
medium_005.png,8,21.38,medium,7577
medium_006.png,9,22.33,medium,7714
medium_007.png,9,19.11,medium,7851
medium_008.png,9,21.22,medium,7988
medium_009.png,8,20.0,medium,8125
medium_010.png,4,20.5,medium,8262
medium_011.png,5,20.8,medium,8399
medium_012.png,5,21.0,medium,8536
medium_013.png,8,19.25,medium,8673
medium_014.png,4,18.5,medium,8810
medium_015.png,7,20.0,medium,8947
medium_016.png,6,19.0,medium,9084
medium_017.png,4,20.25,medium,9221
medium_018.png,9,20.78,medium,9358
medium_019.png,4,20.5,medium,9495
medium_020.png,6,20.0,medium,9632
medium_021.png,4,21.0,medium,9769
medium_022.png,5,18.2,medium,9906
medium_023.png,7,19.29,medium,10043
medium_024.png,7,20.29,medium,10180
medium_025.png,9,19.44,medium,10317
medium_026.png,8,20.25,medium,10454
medium_027.png,9,20.22,medium,10591
medium_028.png,5,21.2,medium,10728
medium_029.png,4,19.5,medium,10865
medium_030.png,4,17.5,medium,11002
medium_031.png,6,21.33,medium,11139
medium_032.png,7,20.86,medium,11276
medium_033.png,8,21.12,medium,11413
medium_034.png,9,18.33,medium,11550
medium_035.png,4,20.0,medium,11687
medium_036.png,9,19.22,medium,11824
medium_037.png,5,17.2,medium,11961
medium_038.png,4,20.75,medium,12098
medium_039.png,5,19.6,medium,12235
medium_040.png,6,21.17,medium,12372
medium_041.png,6,18.0,medium,12509
medium_042.png,8,18.0,medium,12646
medium_043.png,9,20.67,medium,12783
medium_044.png,8,20.38,medium,12920
medium_045.png,4,21.5,medium,13057
medium_046.png,8,19.0,medium,13194
medium_047.png,8,19.88,medium,13331
medium_048.png,9,19.67,medium,13468
medium_049.png,6,19.0,medium,13605
large_000.png,9,32.56,large,13742
large_001.png,8,32.62,large,13879
large_002.png,8,32.38,large,14016
large_003.png,5,36.8,large,14153
large_004.png,9,30.56,large,14290
large_005.png,6,33.0,large,14427
large_006.png,6,30.17,large,14564
large_007.png,7,33.0,large,14701
large_008.png,8,31.38,large,14838
large_009.png,5,34.8,large,14975
large_010.png,6,33.67,large,15112
large_011.png,4,26.5,large,15249
large_012.png,6,31.5,large,15386
large_013.png,4,33.25,large,15523
large_014.png,8,32.62,large,15660
large_015.png,7,32.14,large,15797
large_016.png,7,34.29,large,15934
large_017.png,5,31.6,large,16071
large_018.png,9,30.67,large,16208
large_019.png,5,30.8,large,16345
large_020.png,7,32.57,large,16482
large_021.png,8,32.75,large,16619
large_022.png,4,28.0,large,16756
large_023.png,6,31.5,large,16893
large_024.png,8,29.38,large,17030
large_025.png,4,34.25,large,17167
large_026.png,5,31.8,large,17304
large_027.png,5,31.0,large,17441
large_028.png,6,33.83,large,17578
large_029.png,7,33.0,large,17715
large_030.png,9,32.0,large,17852
large_031.png,4,32.5,large,17989
large_032.png,7,31.86,large,18126
large_033.png,8,32.25,large,18263
large_034.png,6,31.17,large,18400
large_035.png,8,31.25,large,18537
large_036.png,8,33.38,large,18674
large_037.png,5,33.6,large,18811
large_038.png,7,34.0,large,18948
large_039.png,5,32.6,large,19085
large_040.png,7,30.71,large,19222
large_041.png,9,32.56,large,19359
large_042.png,5,33.0,large,19496
large_043.png,7,34.29,large,19633
large_044.png,8,33.0,large,19770
large_045.png,7,31.71,large,19907
large_046.png,8,31.75,large,20044
large_047.png,9,29.89,large,20181
large_048.png,6,29.17,large,20318
large_049.png,4,29.5,large,20455
